"filename", "language", "Markdown", "JSON", "JSON with Comments", "HTML", "TypeScript", "vue", "SCSS", "JavaScript", "YAML", "comment", "blank", "total"
"e:\Code\WhatsPPT\.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 75, 0, 1, 2, 78
"e:\Code\WhatsPPT\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"e:\Code\WhatsPPT\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"e:\Code\WhatsPPT\.github\workflows\deploy.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 6, 31
"e:\Code\WhatsPPT\README.md", "Markdown", 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 222
"e:\Code\WhatsPPT\README_zh.md", "Markdown", 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 207
"e:\Code\WhatsPPT\commitlint.config.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 7, 0, 13, 0, 20
"e:\Code\WhatsPPT\doc\AIPPT.md", "Markdown", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 55
"e:\Code\WhatsPPT\doc\Canvas.md", "Markdown", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 67
"e:\Code\WhatsPPT\doc\CustomElement.md", "Markdown", 368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 415
"e:\Code\WhatsPPT\doc\DirectoryAndData.md", "Markdown", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"e:\Code\WhatsPPT\doc\Q&A.md", "Markdown", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 158
"e:\Code\WhatsPPT\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"e:\Code\WhatsPPT\index.html", "HTML", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 3, 64
"e:\Code\WhatsPPT\package-lock.json", "JSON", 0, 9325, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9326
"e:\Code\WhatsPPT\package.json", "JSON", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 1, 75
"e:\Code\WhatsPPT\public\mocks\AIPPT.json", "JSON", 0, 475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 475
"e:\Code\WhatsPPT\public\mocks\AIPPT_Outline.md", "Markdown", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 69
"e:\Code\WhatsPPT\public\mocks\slides.json", "JSON", 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184
"e:\Code\WhatsPPT\public\mocks\template_1.json", "JSON", 0, 8123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8123
"e:\Code\WhatsPPT\public\mocks\template_2.json", "JSON", 0, 8690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8690
"e:\Code\WhatsPPT\public\mocks\template_3.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Code\WhatsPPT\public\mocks\template_csg.json", "JSON", 0, 4688, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4689
"e:\Code\WhatsPPT\src\App.vue", "vue", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 13, 80
