Date : 2025-03-20 08:30:43
Directory : e:\Code\WhatsPPT
Total : 332 files,  70090 codes, 968 comments, 4834 blanks, all 75892 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         10 |     31,590 |          0 |          5 |     31,595 |
| vue                |        172 |     24,265 |          3 |      2,934 |     27,202 |
| TypeScript         |        129 |     12,666 |        951 |      1,635 |     15,252 |
| Markdown           |         10 |      1,069 |          0 |        197 |      1,266 |
| SCSS               |          6 |        321 |          0 |         51 |        372 |
| JavaScript         |          2 |         82 |         14 |          2 |         98 |
| HTML               |          1 |         61 |          0 |          3 |         64 |
| YAML               |          1 |         25 |          0 |          6 |         31 |
| JSON with Comments |          1 |         11 |          0 |          1 |         12 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |        332 |     70,090 |        968 |      4,834 |     75,892 |
| . (Files)                                                                                       |         12 |      9,992 |         24 |         62 |     10,078 |
| .github                                                                                         |          3 |         57 |          0 |         10 |         67 |
| .github\ISSUE_TEMPLATE                                                                          |          2 |         32 |          0 |          4 |         36 |
| .github\workflows                                                                               |          1 |         25 |          0 |          6 |         31 |
| doc                                                                                             |          5 |        592 |          0 |        140 |        732 |
| public                                                                                          |          7 |     22,225 |          0 |          6 |     22,231 |
| public\mocks                                                                                    |          7 |     22,225 |          0 |          6 |     22,231 |
| src                                                                                             |        305 |     37,224 |        944 |      4,616 |     42,784 |
| src (Files)                                                                                     |          4 |        102 |          0 |         21 |        123 |
| src\assets                                                                                      |          5 |        264 |          0 |         41 |        305 |
| src\assets\styles                                                                               |          5 |        264 |          0 |         41 |        305 |
| src\components                                                                                  |         42 |      4,484 |          0 |        579 |      5,063 |
| src\components (Files)                                                                          |         29 |      3,176 |          0 |        403 |      3,579 |
| src\components\ColorPicker                                                                      |          6 |        790 |          0 |        115 |        905 |
| src\components\Contextmenu                                                                      |          3 |        207 |          0 |         24 |        231 |
| src\components\LaTeXEditor                                                                      |          4 |        311 |          0 |         37 |        348 |
| src\configs                                                                                     |         12 |      2,151 |          2 |         32 |      2,185 |
| src\hooks                                                                                       |         31 |      4,478 |        258 |        616 |      5,352 |
| src\plugins                                                                                     |          6 |        457 |          5 |         48 |        510 |
| src\plugins (Files)                                                                             |          1 |        263 |          1 |          4 |        268 |
| src\plugins\directive                                                                           |          5 |        194 |          4 |         44 |        242 |
| src\services                                                                                    |          2 |         76 |          4 |         12 |         92 |
| src\store                                                                                       |          6 |        518 |         12 |        105 |        635 |
| src\types                                                                                       |          7 |        477 |        405 |         80 |        962 |
| src\utils                                                                                       |         34 |      2,167 |        108 |        344 |      2,619 |
| src\utils (Files)                                                                               |         14 |        744 |        107 |        112 |        963 |
| src\utils\htmlParser                                                                            |          7 |        501 |          1 |         83 |        585 |
| src\utils\prosemirror                                                                           |         13 |        922 |          0 |        149 |      1,071 |
| src\utils\prosemirror (Files)                                                                   |          2 |        254 |          0 |         38 |        292 |
| src\utils\prosemirror\commands                                                                  |          4 |        184 |          0 |         50 |        234 |
| src\utils\prosemirror\plugins                                                                   |          4 |        143 |          0 |         25 |        168 |
| src\utils\prosemirror\schema                                                                    |          3 |        341 |          0 |         36 |        377 |
| src\views                                                                                       |        156 |     22,050 |        150 |      2,738 |     24,938 |
| src\views\Editor                                                                                |         86 |     13,329 |        106 |      1,652 |     15,087 |
